Time,Contract,Fill Type,Filled Qty,Exec.Price,Value,Fill ID,Side,Fee rate,Rebate,Fees paid,Order Type,Order Price,Order Qty,Unfilled Qty,Order ID,Client Order ID
2025-03-19 18:35:42.582754+05:30 IST Asia/Kolkata,BTCUSD,normal,4,8.38E+4,335.2,0fcad4f363204163b8d797c5385efe49,sell,0.0002,0,0.0791072,limit_order,83800,70,19,341258652,
2025-03-19 18:35:42.500921+05:30 IST Asia/Kolkata,BTCUSD,normal,6,8.38E+4,502.8,3b520433bb4f418882169fdfd125d2d8,sell,0.0002,0,0.1186608,limit_order,83800,70,23,341258652,
2025-03-19 18:35:42.498545+05:30 IST Asia/Kolkata,BTCUSD,normal,6,8.38E+4,502.8,96e8fd2199c2406aa138a29882aea927,sell,0.0002,0,0.1186608,limit_order,83800,70,29,341258652,
2025-03-19 18:35:42.494595+05:30 IST Asia/Kolkata,BTCUSD,normal,19,8.38E+4,1592.2,823f49fbbfd74ab0ab19ad87c6d95c15,sell,0.0002,0,0.3757592,limit_order,83800,70,35,341258652,
2025-03-19 18:35:42.491418+05:30 IST Asia/Kolkata,BTCUSD,normal,8,8.38E+4,670.4,a859b4ab2baf43c38c4ea167c19f7591,sell,0.0002,0,0.1582144,limit_order,83800,70,54,341258652,
2025-03-19 18:35:42.487383+05:30 IST Asia/Kolkata,BTCUSD,normal,5,8.38E+4,419,890ceb641bf54eba8923d85929690dc0,sell,0.0002,0,0.098884,limit_order,83800,70,62,341258652,
2025-03-19 18:35:42.483094+05:30 IST Asia/Kolkata,BTCUSD,normal,3,8.38E+4,251.4,ee5a91d65d114b338043d9cea8e2f0c5,sell,0.0002,0,0.0593304,limit_order,83800,70,67,341258652,
2025-03-18 10:18:57.121493+05:30 IST Asia/Kolkata,BTCUSD,normal,60,8.29E+4,4974,41a51781940c433ba8362a2e9d059539,sell,0.0002,0,1.173864,limit_order,82900,60,0,339075305,
2025-03-17 20:01:53.735353+05:30 IST Asia/Kolkata,BTCUSD,normal,55,8.28E+4,4554,0c898b6469664b42b6617bd1bf5b1e68,buy,0.0002,0,1.074744,limit_order,82800,60,0,339073254,
2025-03-17 20:01:27.858107+05:30 IST Asia/Kolkata,BTCUSD,normal,4,8.28E+4,331.2,023afa39d1fb4c7f96367dd1bcf79f6c,buy,0.0002,0,0.0781632,limit_order,82800,70,65,339073254,
2025-03-17 20:01:27.576958+05:30 IST Asia/Kolkata,BTCUSD,normal,1,8.28E+4,82.8,866aee9f2b9f471591da8fc398ae12df,buy,0.0002,0,0.0195408,limit_order,82800,70,69,339073254,
2025-03-08 17:30:01.337191+05:30 IST Asia/Kolkata,P-BTC-86000-080325,settlement,500,123.5689655172,42984.15,788c4d5ecab244ca937d5932de3c9132,sell,0.0003,0,7.29056897,limit_order,123.5689655172,500,0,09fb3807168240f1a0b55ccead016677,
2025-03-08 17:30:01.022425+05:30 IST Asia/Kolkata,P-BTC-86400-080325,settlement,500,523.5689655172,42984.15,9c7c7a4ded5b4be89c16304faf5ef44b,buy,0.0003,0,15.2163891,limit_order,523.5689655172,500,0,b3ed507d9b0143699ffc576721ea3f48,
2025-03-08 17:30:00.532230+05:30 IST Asia/Kolkata,P-BTC-86200-080325,settlement,500,323.5689655172,42981.65,6cebfc67f67e47649365b68137787d9c,buy,0.0003,0,15.2155041,limit_order,323.5689655172,500,0,fb7861f72b0e4904b42f13f902d21502,
2025-03-08 17:30:00.137251+05:30 IST Asia/Kolkata,P-BTC-86600-080325,settlement,500,723.5689655172,42981.55,f54003b495eb4aef82cfde82a3c68e34,sell,0.0003,0,15.2154687,limit_order,723.5689655172,500,0,ac509387408e41999b05066f5c97e6c9,
2025-03-08 12:42:43.567891+05:30 IST Asia/Kolkata,P-BTC-86200-080325,normal,500,1.8E+2,43252.6,e3961695271449c9bd5e0f0a1d63be23,sell,0.0003,0,10.62,limit_order,180,500,0,326832338,
2025-03-08 12:42:43.221407+05:30 IST Asia/Kolkata,P-BTC-86400-080325,normal,480,2.5E+2,41521.104,1d315481f12f4fffbb69923899c01443,sell,0.0003,0,14.16,limit_order,250,500,0,326832334,
2025-03-08 12:42:12.906972+05:30 IST Asia/Kolkata,P-BTC-86400-080325,normal,20,2.5E+2,1730.536,62efb43726f340a58b413100bd5a2579,sell,0.0003,0,0.59,limit_order,250,500,480,326832334,
2025-03-08 12:38:11.471533+05:30 IST Asia/Kolkata,P-BTC-86000-080325,normal,500,129.3,43268.05,3f26ca274e044190b51193f047ab7f05,buy,0.0003,0,7.6287,limit_order,129.3,500,0,326832335,
2025-03-08 12:38:11.376658+05:30 IST Asia/Kolkata,P-BTC-86600-080325,normal,500,346,43262.45,3438b848080f41129f3b4d379a40c60f,buy,0.0003,0,15.3149073,limit_order,346,500,0,326832336,
2025-03-04 13:56:41.287181+05:30 IST Asia/Kolkata,BTCUSD,normal,60,83873,5032.38,7618923faab843908535cd02dc3c96bd,buy,0.0005,0,2.9691042,limit_order,83875,60,0,320334504,
